圧;アツ,エン,オウ;お.す,へ.す,おさ.える,お.さえる;pressure, push, overwhelm, oppress, dominate
依;イ,エ;よ.る;reliant, depend on, consequently, therefore, due to
囲;イ;かこ.む,かこ.う,かこ.い;surround, besiege, store, paling, enclosure, encircle, preserve, keep
委;イ;ゆだ.ねる;committee, entrust to, leave to, devote, discard
移;イ;うつ.る,うつ.す;shift, move, change, drift, catch (cold, fire), pass into
胃;イ;;stomach, paunch, crop, craw
衣;イ,エ;ころも,きぬ,-ぎ;garment, clothes, dressing
域;イキ;;range, region, limits, stage, level
印;イン;しるし,-じるし,しる.す;stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India
宇;ウ;;eaves, roof, house, heaven
羽;ウ;は,わ,はね;feathers, counter for birds, rabbits
雲;ウン;くも,-ぐも;cloud
営;エイ;いとな.む,いとな.み;occupation, camp, perform, build, conduct (business)
栄;エイ,ヨウ;さか.える,は.え,-ば.え,は.える,え;flourish, prosperity, honor, glory, splendor
永;エイ;なが.い;eternity, long, lengthy
鋭;エイ;するど.い;pointed, sharpness, edge, weapon, sharp, violent
液;エキ;;fluid, liquid, juice, sap, secretion
延;エン;の.びる,の.べる,の.べ,の.ばす;prolong, stretching
塩;エン;しお;salt
汚;オ;けが.す,けが.れる,けが.らわしい,よご.す,よご.れる,きたな.い;dirty, pollute, disgrace, rape, defile
央;オウ;;center, middle
奥;オウ;おく,おく.まる,くま;heart, interior
欧;オウ;うた.う,は.く;Europe
黄;コウ,オウ;き,こ-;yellow
億;オク;;hundred million, 10**8
温;オン;あたた.か,あたた.かい,あたた.まる,あたた.める,ぬく;warm
河;カ;かわ;river
荷;カ;に;baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight
菓;カ;;candy, cakes, fruit
課;カ;;chapter, lesson, section, department, division, counter for chapters (of a book)
貨;カ;たから;freight, goods, property
介;カイ;;jammed in, shellfish, mediate, concern oneself with
快;カイ;こころよ.い;cheerful, pleasant, agreeable, comfortable
改;カイ;あらた.める,あらた.まる;reformation, change, modify, mend, renew, examine, inspect, search
械;カイ;かせ;contraption, fetter, machine, instrument
灰;カイ;はい;ashes, puckery juice, cremate
階;カイ;きざはし;storey, stair, counter for storeys of a building
貝;バイ;かい;shellfish
各;カク;おのおの;each, every, either
角;カク;かど,つの;angle, corner, square, horn, antlers
革;カク;かわ;leather, become serious, skin, hide, pelt
額;ガク;ひたい;forehead, tablet, plaque, framed picture, sum, amount, volume
乾;カン,ケン;かわ.く,かわ.かす,ほ.す,ひ.る,いぬい;drought, dry, dessicate, drink up, heaven, emperor
刊;カン;;publish, carve, engrave
巻;カン,ケン;ま.く,まき,ま.き;scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)
干;カン;ほ.す,ほ.し-,-ぼ.し,ひ.る;dry, parch
患;カン;わずら.う;afflicted, disease, suffer from, be ill
換;カン;か.える,-か.える,か.わる;interchange, period, change, convert, replace, renew
汗;カン;あせ;sweat, perspire
甘;カン;あま.い,あま.える,あま.やかす,うま.い;sweet, coax, pamper, be content, sugary
管;カン;くだ;pipe, tube, wind instrument, drunken talk
簡;カン;;simplicity, brevity
缶;カン;かま;tin can, container, jar radical (no. 121)
丸;ガン;まる,まる.める,まる.い;round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away
含;ガン;ふく.む,ふく.める;include, bear in mind, understand, cherish
岸;ガン;きし;beach
岩;ガン;いわ;boulder, rock, cliff
希;キ,ケ;まれ;hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal
机;キ;つくえ;desk, table
祈;キ;いの.る;pray, wish
季;キ;;seasons
技;ギ;わざ;skill, art, craft, ability, feat, performance, vocation, arts
喫;キツ;の.む;consume, eat, drink, smoke, receive (a blow)
詰;キツ,キチ;つ.める,つ.め,-づ.め,つ.まる,つ.む;packed, close, pressed, reprove, rebuke, blame
逆;ギャク,ゲキ;さか,さか.さ,さか.らう;inverted, reverse, opposite, wicked
久;キュウ,ク;ひさ.しい;long time, old story
旧;キュウ;ふる.い,もと;old times, old things, old friend, former, ex-
巨;キョ;;gigantic, big, large, great
漁;ギョ,リョウ;あさ.る;fishing, fishery
競;キョウ,ケイ;きそ.う,せ.る,くら.べる;emulate, compete with, bid, sell at auction, bout, contest, race
協;キョウ;;co-, cooperation
叫;キョウ;さけ.ぶ;shout, exclaim, yell
境;キョウ,ケイ;さかい;boundary, border, region
挟;キョウ,ショウ;はさ.む,はさ.まる,わきばさ.む,さしはさ.む;pinch, between
橋;キョウ;はし;bridge
況;キョウ;まし.て,いわ.んや,おもむき;condition, situation
胸;キョウ;むね,むな-;bosom, breast, chest, heart, feelings
極;キョク,ゴク;きわ.める,きわ.まる,きわ.まり,きわ.み,き.める,-ぎ.め,き.まる;poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48
玉;ギョク;たま,たま-,-だま;jewel, ball
均;キン;なら.す;level, average
禁;キン;;prohibition, ban, forbid
区;ク,オウ,コウ;;ward, district
隅;グウ;すみ;corner, nook
掘;クツ;ほ.る;dig, delve, excavate
訓;クン,キン;おし.える,よ.む,くん.ずる;instruction, Japanese character reading, explanation, read
群;グン;む.れる,む.れ,むら,むら.がる;flock, group, crowd, herd, swarm, cluster
